objectid,objecttype,attributeid,attributetype
chndm_1926-43-5-300,object,1710s,date
chndm_1926-43-5-300,object,1730s,date
chndm_1926-43-5-345,object,1710s,date
chndm_1926-43-5-345,object,1730s,date
chndm_1926-43-5-432,object,1710s,date
chndm_1926-43-5-432,object,1730s,date
chndm_1926-43-5-458,object,1710s,date
chndm_1926-43-5-458,object,1730s,date
chndm_1926-43-5-481,object,1710s,date
chndm_1926-43-5-481,object,1730s,date
chndm_1926-43-5-540,object,1710s,date
chndm_1926-43-5-540,object,1730s,date
chndm_1926-43-5-551,object,1710s,date
chndm_1926-43-5-551,object,1730s,date
chndm_1926-43-6-a-135,object,1710s,date
chndm_1926-43-6-a-135,object,1730s,date
chndm_1926-43-6-a-75,object,1710s,date
chndm_1926-43-6-a-75,object,1730s,date
chndm_1926-43-6-a-99,object,1710s,date
chndm_1926-43-6-a-99,object,1730s,date
chndm_1926-43-6-b-135,object,1710s,date
chndm_1926-43-6-b-135,object,1730s,date
chndm_1926-43-6-b-153,object,1710s,date
chndm_1926-43-6-b-153,object,1730s,date
chndm_1926-43-6-b-155,object,1710s,date
chndm_1926-43-6-b-155,object,1730s,date
chndm_1926-43-6-b-252,object,1710s,date
chndm_1926-43-6-b-252,object,1730s,date
chndm_1926-43-6-b-3,object,1710s,date
chndm_1926-43-6-b-3,object,1730s,date
chndm_1926-43-6-b-78,object,1710s,date
chndm_1926-43-6-b-78,object,1730s,date
chndm_1926-43-6-b-84,object,1710s,date
chndm_1926-43-6-b-84,object,1730s,date
chndm_1926-43-6-b-96,object,1710s,date
chndm_1926-43-6-b-96,object,1730s,date
chndm_1926-43-7-b-118,object,1710s,date
chndm_1926-43-7-b-118,object,1730s,date
chndm_1926-43-7-c-12,object,1710s,date
chndm_1926-43-7-c-12,object,1730s,date
chndm_1926-43-7-d-32,object,1710s,date
chndm_1926-43-7-d-32,object,1730s,date
chndm_1926-43-7-d-45,object,1710s,date
chndm_1926-43-7-d-45,object,1730s,date
chndm_1928-16-2,object,1760s,date
chndm_1928-16-2,object,1770s,date
chndm_1928-2-95,object,1770s,date
chndm_1928-2-95,object,1780s,date
chndm_1928-5-35-a_b,object,1820s,date
chndm_1928-5-35-a_b,object,1870s,date
chndm_1929-1-7-a_b,object,1800s,date
chndm_1929-1-7-a_b,object,1900s,date
chndm_1931-27-4,object,1500s,date
chndm_1931-27-4,object,1600s,date
chndm_1931-4-62,object,1790s,date
chndm_1931-4-62,object,1800s,date
chndm_1931-4-81,object,1700s,date
chndm_1931-4-81,object,1800s,date
chndm_1931-4-9,object,1800s,date
chndm_1931-4-9,object,1850s,date
chndm_1931-40-47-a_b,object,1700s,date
chndm_1931-40-47-a_b,object,1800s,date
chndm_1931-41-25-a_b,object,1870s,date
chndm_1931-41-25-a_b,object,1900s,date
chndm_1931-44-17-a_b,object,1770s,date
chndm_1931-44-17-a_b,object,1800s,date
chndm_1931-45-41,object,1780s,date
chndm_1931-45-41,object,1790s,date
